date:-2018/09/14  LINSSIDDATALOGVER 2.8
Time	SSID	MAC	Channel	Mode	Protocol	Security	Privacy	Cipher	Frequency	Quality	Signal	BW	Min_Sig	Max_Sig	Cen_Chan	First_Seen	Last_Seen	Vendor
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:87:FC	48	AP	bgnac	PSK	CCMP	CCMP	5240	98	-51	80	-51	-51	46	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:82:98	1	AP	bgn	PSK	CCMP	CCMP	2412	100	-32	20	-32	-31	1	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:81:88	1	AP	bgn	PSK	CCMP	CCMP	2412	94	-53	20	-54	-53	1	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:59:38	1	AP	bgn	PSK	CCMP	CCMP	2412	76	-62	20	-62	-60	1	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:19:78	1	AP	bgn	PSK	CCMP	CCMP	2412	72	-64	20	-64	-62	1	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:8A:68	1	AP	bgn	PSK	CCMP	CCMP	2412	64	-68	20	-68	-66	1	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:81:98	1	AP	bgn	PSK	CCMP	CCMP	2412	40	-80	20	-83	-80	1	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:A7:B8	1	AP	bgn	PSK	CCMP	CCMP	2412	40	-80	20	-80	-76	1	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:A3:C8	4	AP	bgn	PSK	CCMP	CCMP	2427	60	-70	20	-71	-70	4	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:A6:88	4	AP	bgn	PSK	CCMP	CCMP	2427	58	-71	20	-72	-71	4	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:57:78	4	AP	bgn	PSK	CCMP	CCMP	2427	24	-88	20	-88	-88	4	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:A3:08	6	AP	bgn	PSK	CCMP	CCMP	2437	90	-55	20	-56	-55	6	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:87:F8	6	AP	bgn	PSK	CCMP	CCMP	2437	84	-58	20	-58	-56	6	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:91:D8	6	AP	bgn	PSK	CCMP	CCMP	2437	94	-53	20	-58	-52	6	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"HP-Print-9E-LaserJet Pro MFP"	44:1C:A8:0F:72:9E	6	AP	bgn	PSK	TKIP	TKIP CCMP	2437	28	-86	20	-88	-83	6	2018/09/14.20:56:03	2018/09/14.20:56:21	"Hon Hai Precision Ind. Co.,Ltd."
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:54:98	6	AP	bgn	PSK	CCMP	CCMP	2437	62	-69	20	-70	-69	6	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:77:38	7	AP	bgn	PSK	CCMP	CCMP	2442	46	-77	20	-77	-76	7	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"COMMITTEE ROOM"	D4:68:4D:3E:A4:28	10	AP	bgn	PSK	TKIP	CCMP TKIP	2457	76	-62	20	-63	-62	10	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:8C:88	11	AP	bgn	PSK	CCMP	CCMP	2462	100	-46	20	-49	-46	11	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:54:D8	11	AP	bgn	PSK	CCMP	CCMP	2462	36	-82	20	-82	-79	11	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:89:58	11	AP	bgn	PSK	CCMP	CCMP	2462	44	-78	20	-79	-78	11	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"StormBreaker"	00:22:6B:47:B8:32	11	AP	bgn	PSK	CCMP	CCMP	2462	18	-91	20	-91	-90	11	2018/09/14.20:56:03	2018/09/14.20:56:21	"Cisco-Linksys, LLC"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:8A:6C	36	AP	bgnac	PSK	CCMP	CCMP	5180	40	-80	80	-84	-80	38	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:A6:8C	36	AP	bgnac	PSK	CCMP	CCMP	5180	46	-77	80	-77	-74	38	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:8B:4C	40	AP	bgnac	PSK	CCMP	CCMP	5200	22	-89	80	-89	-88	38	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:91:DC	44	AP	bgnac	PSK	CCMP	CCMP	5220	56	-72	80	-72	-71	46	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:59:3C	48	AP	bgnac	PSK	CCMP	CCMP	5240	52	-74	80	-74	-74	46	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:82:9C	48	AP	bgnac	PSK	CCMP	CCMP	5240	100	-45	80	-45	-45	46	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"COMMITTEE ROOM"	D4:68:4D:3E:A4:2C	149	AP	bgnac	PSK	TKIP	CCMP TKIP	5745	48	-76	40	-78	-76	151	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:54:8C	153	AP	bgnac	PSK	CCMP	CCMP	5765	22	-89	80	-90	-88	151	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:54:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	24	-88	80	-88	-87	159	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:54:DC	157	AP	bgnac	PSK	CCMP	CCMP	5785	28	-86	80	-86	-86	159	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:81:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	34	-83	80	-85	-83	159	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:A3:0C	161	AP	bgnac	PSK	CCMP	CCMP	5805	22	-89	80	-89	-88	159	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:8C:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	56	-72	80	-73	-72	159	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:81:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	48	-76	80	-76	-75	159	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:81:A8	6	AP	bgn	PSK	CCMP	CCMP	2437	54	-73	20	-73	-71	6	2018/09/14.20:56:09	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"EACCESS"	6C:AA:B3:72:31:C8	6	AP	bgn	PSK	CCMP	CCMP	2437	34	-83	20	-83	-81	6	2018/09/14.20:56:09	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"TU"	6C:AA:B3:32:31:C8	6	AP	bgn	PSK	CCMP	CCMP	2437	36	-82	20	-82	-80	6	2018/09/14.20:56:09	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:21	"DD Office"	00:1E:4A:90:00:20	11	AP	bg	PSK	TKIP	TKIP	2462	28	-86	20	-87	-86	11	2018/09/14.20:56:09	2018/09/14.20:56:21	"Cisco Systems, Inc"
2018/09/14.20:56:21	"TU"	D4:68:4D:3E:54:88	6	AP	bgn	PSK	CCMP	CCMP	2437	20	-90	20	-90	-90	6	2018/09/14.20:56:15	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:87:FC	48	AP	bgnac	PSK	CCMP	CCMP	5240	98	-51	80	-51	-51	46	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:82:98	1	AP	bgn	PSK	CCMP	CCMP	2412	100	-31	20	-32	-31	1	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:81:88	1	AP	bgn	PSK	CCMP	CCMP	2412	90	-55	20	-55	-53	1	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:59:38	1	AP	bgn	PSK	CCMP	CCMP	2412	76	-62	20	-62	-60	1	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:19:78	1	AP	bgn	PSK	CCMP	CCMP	2412	72	-64	20	-64	-62	1	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:8A:68	1	AP	bgn	PSK	CCMP	CCMP	2412	64	-68	20	-68	-66	1	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:81:98	1	AP	bgn	PSK	CCMP	CCMP	2412	36	-82	20	-83	-80	1	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:A7:B8	1	AP	bgn	PSK	CCMP	CCMP	2412	44	-78	20	-80	-76	1	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:A3:C8	4	AP	bgn	PSK	CCMP	CCMP	2427	56	-72	20	-72	-70	4	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:A6:88	4	AP	bgn	PSK	CCMP	CCMP	2427	58	-71	20	-72	-71	4	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:57:78	4	AP		PSK	CCMP	CCMP	2427	24	-110	20	-88	-88	4	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:A3:08	6	AP	bgn	PSK	CCMP	CCMP	2437	90	-55	20	-56	-55	6	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:87:F8	6	AP	bgn	PSK	CCMP	CCMP	2437	82	-59	20	-59	-56	6	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:91:D8	6	AP	bgn	PSK	CCMP	CCMP	2437	94	-53	20	-58	-52	6	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"HP-Print-9E-LaserJet Pro MFP"	44:1C:A8:0F:72:9E	6	AP	bgn	PSK	TKIP	TKIP CCMP	2437	28	-86	20	-88	-83	6	2018/09/14.20:56:03	2018/09/14.20:56:28	"Hon Hai Precision Ind. Co.,Ltd."
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:54:98	6	AP	bgn	PSK	CCMP	CCMP	2437	62	-69	20	-70	-69	6	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:77:38	7	AP	bgn	PSK	CCMP	CCMP	2442	46	-77	20	-77	-76	7	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"COMMITTEE ROOM"	D4:68:4D:3E:A4:28	10	AP	bgn	PSK	TKIP	CCMP TKIP	2457	74	-63	20	-63	-62	10	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:8C:88	11	AP	bgn	PSK	CCMP	CCMP	2462	100	-49	20	-49	-46	11	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:54:D8	11	AP	bgn	PSK	CCMP	CCMP	2462	36	-82	20	-82	-79	11	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:89:58	11	AP	bgn	PSK	CCMP	CCMP	2462	44	-78	20	-79	-78	11	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"StormBreaker"	00:22:6B:47:B8:32	11	AP	bgn	PSK	CCMP	CCMP	2462	18	-91	20	-91	-90	11	2018/09/14.20:56:03	2018/09/14.20:56:28	"Cisco-Linksys, LLC"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:8A:6C	36	AP	bgnac	PSK	CCMP	CCMP	5180	40	-80	80	-84	-80	38	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:A6:8C	36	AP	bgnac	PSK	CCMP	CCMP	5180	44	-78	80	-78	-74	38	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:8B:4C	40	AP	bgnac	PSK	CCMP	CCMP	5200	24	-88	80	-89	-88	38	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:91:DC	44	AP	bgnac	PSK	CCMP	CCMP	5220	58	-71	80	-72	-71	46	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:59:3C	48	AP	bgnac	PSK	CCMP	CCMP	5240	50	-75	80	-75	-74	46	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:82:9C	48	AP	bgnac	PSK	CCMP	CCMP	5240	100	-45	80	-45	-45	46	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"COMMITTEE ROOM"	D4:68:4D:3E:A4:2C	149	AP	bgnac	PSK	TKIP	CCMP TKIP	5745	36	-82	40	-82	-76	151	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:54:8C	153	AP	bgnac	PSK	CCMP	CCMP	5765	22	-89	80	-90	-88	151	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:54:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	26	-87	80	-88	-87	159	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:54:DC	157	AP	bgnac	PSK	CCMP	CCMP	5785	30	-85	80	-86	-85	159	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:81:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	32	-84	80	-85	-83	159	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:A3:0C	161	AP	bgnac	PSK	CCMP	CCMP	5805	24	-88	80	-89	-88	159	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:8C:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	54	-73	80	-73	-72	159	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:81:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	48	-76	80	-76	-75	159	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:81:A8	6	AP	bgn	PSK	CCMP	CCMP	2437	54	-73	20	-73	-71	6	2018/09/14.20:56:09	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"EACCESS"	6C:AA:B3:72:31:C8	6	AP	bgn	PSK	CCMP	CCMP	2437	34	-83	20	-83	-81	6	2018/09/14.20:56:09	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"TU"	6C:AA:B3:32:31:C8	6	AP	bgn	PSK	CCMP	CCMP	2437	36	-82	20	-82	-80	6	2018/09/14.20:56:09	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"DD Office"	00:1E:4A:90:00:20	11	AP	bg	PSK	TKIP	TKIP	2462	28	-86	20	-87	-86	11	2018/09/14.20:56:09	2018/09/14.20:56:28	"Cisco Systems, Inc"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:54:88	6	AP	bgn	PSK	CCMP	CCMP	2437	20	-90	20	-90	-90	6	2018/09/14.20:56:15	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:28	"\x00"	00:1E:4A:90:01:70	6	AP	bg				2437	26	-87	20	-87	-87	6	2018/09/14.20:56:28	2018/09/14.20:56:28	"Cisco Systems, Inc"
2018/09/14.20:56:28	"TU"	D4:68:4D:3E:19:7C	153	AP	bgnac	PSK	CCMP	CCMP	5765	24	-88	80	-88	-88	151	2018/09/14.20:56:28	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:87:FC	48	AP	bgnac	PSK	CCMP	CCMP	5240	98	-51	80	-51	-51	46	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:82:98	1	AP	bgn	PSK	CCMP	CCMP	2412	100	-31	20	-32	-31	1	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:81:88	1	AP	bgn	PSK	CCMP	CCMP	2412	94	-53	20	-55	-53	1	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:59:38	1	AP	bgn	PSK	CCMP	CCMP	2412	80	-60	20	-62	-60	1	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:19:78	1	AP	bgn	PSK	CCMP	CCMP	2412	76	-62	20	-64	-62	1	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:8A:68	1	AP	bgn	PSK	CCMP	CCMP	2412	66	-67	20	-68	-66	1	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:81:98	1	AP	bgn	PSK	CCMP	CCMP	2412	36	-82	20	-83	-80	1	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:A7:B8	1	AP	bgn	PSK	CCMP	CCMP	2412	44	-78	20	-80	-76	1	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:A3:C8	4	AP	bgn	PSK	CCMP	CCMP	2427	56	-72	20	-72	-70	4	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:A6:88	4	AP	bgn	PSK	CCMP	CCMP	2427	52	-74	20	-74	-71	4	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:57:78	4	AP		PSK	CCMP	CCMP	2427	24	-110	20	-88	-88	4	2018/09/14.20:56:03	2018/09/14.20:56:21	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:A3:08	6	AP	bgn	PSK	CCMP	CCMP	2437	88	-56	20	-56	-55	6	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:87:F8	6	AP	bgn	PSK	CCMP	CCMP	2437	24	-88	20	-88	-56	6	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:91:D8	6	AP	bgn	PSK	CCMP	CCMP	2437	94	-53	20	-58	-52	6	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"HP-Print-9E-LaserJet Pro MFP"	44:1C:A8:0F:72:9E	6	AP	bgn	PSK	TKIP	TKIP CCMP	2437	28	-86	20	-88	-83	6	2018/09/14.20:56:03	2018/09/14.20:56:34	"Hon Hai Precision Ind. Co.,Ltd."
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:54:98	6	AP	bgn	PSK	CCMP	CCMP	2437	62	-69	20	-70	-69	6	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:77:38	7	AP	bgn	PSK	CCMP	CCMP	2442	46	-77	20	-77	-76	7	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"COMMITTEE ROOM"	D4:68:4D:3E:A4:28	10	AP	bgn	PSK	TKIP	CCMP TKIP	2457	74	-63	20	-63	-62	10	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:8C:88	11	AP	bgn	PSK	CCMP	CCMP	2462	100	-47	20	-49	-46	11	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:54:D8	11	AP	bgn	PSK	CCMP	CCMP	2462	36	-82	20	-82	-79	11	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:89:58	11	AP		PSK	CCMP	CCMP	2462	44	-110	20	-79	-78	11	2018/09/14.20:56:03	2018/09/14.20:56:28	"Ruckus Wireless"
2018/09/14.20:56:34	"StormBreaker"	00:22:6B:47:B8:32	11	AP		PSK	CCMP	CCMP	2462	18	-110	20	-91	-90	11	2018/09/14.20:56:03	2018/09/14.20:56:28	"Cisco-Linksys, LLC"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:8A:6C	36	AP	bgnac	PSK	CCMP	CCMP	5180	36	-82	80	-84	-80	38	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:A6:8C	36	AP	bgnac	PSK	CCMP	CCMP	5180	48	-76	80	-78	-74	38	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:8B:4C	40	AP	bgnac	PSK	CCMP	CCMP	5200	22	-89	80	-89	-88	38	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:91:DC	44	AP	bgnac	PSK	CCMP	CCMP	5220	58	-71	80	-72	-71	46	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:59:3C	48	AP	bgnac	PSK	CCMP	CCMP	5240	52	-74	80	-75	-74	46	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:82:9C	48	AP	bgnac	PSK	CCMP	CCMP	5240	100	-44	80	-45	-44	46	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"COMMITTEE ROOM"	D4:68:4D:3E:A4:2C	149	AP	bgnac	PSK	TKIP	CCMP TKIP	5745	46	-77	40	-82	-76	151	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:54:8C	153	AP	bgnac	PSK	CCMP	CCMP	5765	22	-89	80	-90	-88	151	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:54:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	26	-87	80	-88	-87	159	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:54:DC	157	AP	bgnac	PSK	CCMP	CCMP	5785	26	-87	80	-87	-85	159	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:81:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	32	-84	80	-85	-83	159	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:A3:0C	161	AP	bgnac	PSK	CCMP	CCMP	5805	22	-89	80	-89	-88	159	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:8C:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	56	-72	80	-73	-72	159	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
2018/09/14.20:56:34	"TU"	D4:68:4D:3E:81:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	46	-77	80	-77	-75	159	2018/09/14.20:56:03	2018/09/14.20:56:34	"Ruckus Wireless"
